# locale	number	prompt	a	b	c
de	42	Welche Säure entsteht bei intensivem Training in den Muskeln und verursacht das vorübergehende Brennen während der Übung?	Zitronensäure	Milchsäure, beziehungsweise Laktat	Essigsäure
de	43	Warum sind Erholung, Schlaf und trainingsfreie Tage für Muskelaufbau genauso wichtig wie das Training selbst?	Muskeln wachsen nicht während des Trainings; dort werden sie belastet, während Wachstum und Reparatur in Ruhe und Schlaf passieren	Erholung dient nur dazu, andere Menschen im Fitnessstudio nicht zu nerven	Ohne Erholung verwandeln sich Muskeln in Knochen
de	44	Wie beeinflussen zu wenig Wasser und Elektrolyte Muskelkrämpfe während oder nach dem Training?	Wasser hat nichts mit Krämpfen zu tun; sie entstehen nur durch schlechte Luft im Raum	Dehydration und Mineralverlust, etwa Kalium und Magnesium, stören elektrische Signale in den Muskeln und verursachen schmerzhafte plötzliche Kontraktionen	Wassermangel lässt den Muskel dauerhaft am Knochen kleben
de	45	Was misst der Ruhepuls und was sagt er über die Gesundheit aus?	Er misst die Atemgeschwindigkeit	Er zeigt die Effizienz des Herzens; ein niedriger Ruhepuls, etwa 50-65 bpm, weist oft auf ein stärkeres und gesünderes Herz hin	Er misst den Blutzucker über die Haut
de	46	Was ist Muskelhypertrophie?	Abnahme der Muskelmasse durch Krankheit	Zunahme der Größe und des Querschnitts von Muskelzellen durch Widerstandstraining	Muskelkrämpfe in der Nacht
de	47	Wie können sehr lange Cardioeinheiten ohne Krafttraining die Muskelmasse beeinflussen?	Sie führen zu extremem Muskelwachstum im Oberkörper	Sie können zu Katabolismus, also Abbau von Muskelgewebe, führen, weil der Körper Energie für lange Belastung sucht	Sie verwandeln Muskeln in Fettgewebe
de	48	Welches Gelenk ist im menschlichen Körper am beweglichsten und dadurch besonders anfällig für Verletzungen und Ausrenkungen?	Das Kniegelenk	Das Schultergelenk	Das Hüftgelenk
de	49	Was ist VO2 max?	Das maximale Gewicht, das ein Mensch einmal vom Boden heben kann	Das maximale Sauerstoffvolumen, das der Körper bei intensiver Belastung nutzen kann; ein Fitnessindikator	Der maximale Puls während des Schlafs
de	50	Was passiert mit der Knochendichte, wenn wir regelmäßig Übungen mit Belastung machen, etwa Gewichte oder Körpergewicht?	Knochen werden spröde und brechen leichter	Mechanischer Reiz stimuliert den Körper, mehr Kalzium in Knochen einzulagern, wodurch sie dichter, stärker und widerstandsfähiger gegen Osteoporose werden	Knochen verlieren ihre natürliche Form und verbiegen sich
de	51	Was ist die grundlegende Aufgabe von Sehnen im Körper?	Sie verbinden einen Knochen mit einem anderen Knochen	Sie verbinden Muskeln mit Knochen und übertragen die Kraft der Muskelkontraktion auf das Skelett, wodurch Bewegung möglich wird	Sie produzieren rote Blutkörperchen
de	52	Was sind Bänder, also Ligamente?	Starke elastische Bindegewebsbänder, die Knochen mit Knochen verbinden und Gelenke stabilisieren	Teile des Muskels, die sich bei Bewegung verkürzen	Kleine Kapillaren im Inneren der Lunge
de	53	Was bedeutet aktive Erholung?	24 Stunden völlig regungslos im Bett liegen	Aktivität niedriger Intensität, etwa lockeres Gehen oder leichtes Schwimmen, die die Durchblutung fördert und die Muskelerholung beschleunigt	Trotz starker Schmerzen und Verletzung hart weitertrainieren
de	54	Warum ist es gefährlich, nach Sprint oder sehr intensivem Laufen abrupt anzuhalten und sich sofort zu setzen oder hinzulegen?	Der Blutdruck kann plötzlich abfallen und Ohnmacht entstehen, weil Blut nach abruptem Muskelstopp vorübergehend in den Beinen versackt	Muskeln verkürzen sich sofort um mehrere Zentimeter	Der Körper hört auf zu schwitzen, was innere Überhitzung verursacht
de	55	Wie wirkt sich Altern auf die Muskelmasse aus, wenn wir körperlich inaktiv sind, also bei Sarkopenie?	Die Muskelmasse bleibt gleich, nur ihre Farbe ändert sich	Bereits nach dem 30. Lebensjahr verlieren wir durchschnittlich 3-8 Prozent Muskelmasse pro Jahrzehnt, was den Stoffwechsel verlangsamt	Muskeln entwickeln sich von selbst, je älter wir werden
de	56	Welcher Muskelfasertyp ist für explosive Bewegungen, Sprint und schwere Gewichte zuständig, ermüdet aber schnell?	Langsam zuckende rote Fasern	Schnell zuckende weiße Fasern	Herzmuskelfasern
de	57	Was ist Flexion in der Anatomie?	Eine Bewegung, die den Winkel zwischen zwei Knochen vergrößert, also ein Gelenk streckt	Eine Bewegung, die den Winkel zwischen zwei Knochen verkleinert, zum Beispiel das Beugen des Ellbogens	Rotation des Körpers um die eigene Achse
de	58	Was ist Extension in der Anatomie?	Ein Gelenk bis zum Endpunkt beugen	Eine Streckbewegung, die den Winkel zwischen Knochen vergrößert, etwa das Strecken des Knies	Den Arm seitlich vom Körper wegbewegen
de	59	Warum ist saubere Übungsausführung wichtiger als das Gewicht, das man hebt?	Saubere Form sorgt dafür, dass der Zielmuskel arbeitet, und reduziert das Verletzungsrisiko für Sehnen, Gelenke und Wirbelsäule deutlich	Wenn die Form nicht perfekt ist, werden Gewichte von selbst schwerer	Saubere Form dient nur dazu, dass die Übung im Video gut aussieht
de	60	Wie beeinflusst die Atmung beim Heben, etwa bei Kniebeugen, die Körperstabilität?	Man sollte während der ganzen Bewegung möglichst schnell und flach atmen	Einatmen vor dem Absenken und Spannung im Bauch erzeugen inneren Druck, der die Wirbelsäule schützt; ausgeatmet wird im schwersten Teil des Hebens	Beim gesamten Krafttraining sollte man komplett die Luft anhalten
de	61	Welches Hormon wird im Gehirn ausgeschüttet, wenn wir ein kleines Ziel erreichen, etwa ein Training abschließen, und motiviert uns zu weiterem Erfolg?	Cortisol	Dopamin	Melatonin
de	62	Was ist der nachweislich schnellste Reset für das Gehirn, wenn man sich im Arbeitstag mental blockiert und gestresst fühlt?	15 Minuten durch soziale Medien scrollen	Noch ein doppelter Kaffee mit Zucker	Eine kurze aktive Pause: 5 Minuten Dehnen oder ein schneller Spaziergang an der frischen Luft
de	63	Was ist emotionales Überessen?	Wenn man zu scharfes Essen isst, das Emotionen weckt	Wenn man als Reaktion auf Stress, Traurigkeit oder Langeweile isst, nicht wegen echtem körperlichem Hunger	Ein festliches Familienessen an Feiertagen
de	64	Was passiert mit Cortisol, dem Stresshormon, wenn wir chronisch zu wenig schlafen?	Es fällt stark ab und wir werden zu ruhig	Es bleibt perfekt ausgeglichen	Es steigt stark an, was das Verlangen nach ungesunder fettiger und süßer Nahrung erhöht
de	65	Welcher physiologische Mechanismus erklärt, warum Schlafmangel, etwa 4-5 Stunden über mehrere Nächte, die Glukosehomöostase stark stört?	Er senkt die Cortisolausschüttung am Morgen	Er verringert die Insulinsensitivität peripherer Gewebe wie Muskeln und ähnelt einem prädiabetischen Zustand	Er beschleunigt den Glykogenabbau in den Nieren
de	66	Wie wirkt Bauchatmung, also Zwerchfellatmung, in einem stressigen Moment auf das Nervensystem?	Sie beschleunigt den Herzschlag und steigert Panik	Sie aktiviert das parasympathische Nervensystem, beruhigt den Herzschlag und reduziert Angst	Sie blockiert die Sauerstoffzufuhr zu den Muskeln
de	67	Was ist der beste Weg, Prokrastination vor dem Training zu überwinden, wenn man keine Lust hat?	Die 5-Sekunden-Regel: 5-4-3-2-1 zählen, Schuhe anziehen und ohne langes Nachdenken losgehen	Warten, bis die Unlust vergeht, auch wenn es Tage dauert	Fernsehen, bis das schlechte Gewissen kommt
de	68	Was bedeutet ein ganzheitlicher Gesundheitsansatz wirklich?	Behandlung nur mit exotischen Tees und Kräutern	Den Menschen als Ganzes betrachten, bei dem körperliche Gesundheit, Ernährung, mentale Verfassung und Schlaf verbunden sind	Sich ausschließlich auf Aussehen und Muskeldefinition konzentrieren
de	69	Was ist Neuroplastizität des Gehirns?	Die Fähigkeit des Gehirns, sich durch Stress in Plastik zu verwandeln	Die Fähigkeit des Gehirns, sich lebenslang durch Lernen und Erfahrungen zu verändern, neu zu organisieren und neue neuronale Verbindungen zu bilden	Dauerhafte Schädigung von Gehirnzellen nach dem 25. Lebensjahr
de	70	Welches Hormon schüttet die Zirbeldrüse bei Dunkelheit aus und signalisiert dem Körper, dass Schlafenszeit ist?	Adrenalin	Melatonin	Testosteron
de	71	Wie beeinflusst blaues Licht von Handybildschirmen die Schlafqualität, wenn wir kurz vor dem Schlafengehen darauf schauen?	Es hilft uns, schneller in tiefen Schlaf zu fallen	Es blockiert die Melatoninproduktion, täuscht dem Gehirn Tageslicht vor und verschlechtert Schlafqualität und Schlaftiefe deutlich	Es reinigt die Augen nachts von Bakterien
de	72	Was passiert während der REM-Schlafphase, die für die mentale Gesundheit wichtig ist?	Der Körper repariert aktiv Knochenschäden	Das Gehirn verarbeitet Emotionen, festigt Erinnerungen und Informationen, die tagsüber gelernt wurden	Die Körpertemperatur steigt auf maximale Werte
de	73	Was ist chronischer Stress und wie unterscheidet er sich von akutem Stress?	Stress, der nur 5 Minuten dauert und schnell vorbeigeht	Ein langanhaltender dauerhafter Spannungszustand, der Cortisol erhöht hält und langsam Immunsystem und Blutgefäße schädigt	Stress, den man nur beim Schauen von Horrorfilmen spürt
de	74	Wie beeinflussen regelmäßige Meditation oder Achtsamkeit die Amygdala, das Angstzentrum im Gehirn?	Sie vergrößern die Amygdala und machen uns ängstlicher	Sie reduzieren nachweislich graue Substanz in der Amygdala und senken dadurch die automatische Stress- und Angstreaktion des Körpers	Sie schalten das Gehirn für mehrere Stunden vollständig aus
de	75	Warum ist soziale Isolation, also Einsamkeit, laut medizinischen Studien gefährlich für die körperliche Gesundheit?	Sie ist gar nicht gefährlich; völlig allein zu sein ist gesünder	Sie verursacht chronische Entzündungen im Körper und bringt ein Gesundheitsrisiko ähnlich wie Rauchen mit sich	Sie verringert die Körpergröße um mehrere Zentimeter
de	76	Was ist Burnout am Arbeitsplatz?	Wenn der Arbeitsraum wegen schlechter Klimaanlage überhitzt	Ein Zustand vollständiger emotionaler, mentaler und körperlicher Erschöpfung durch langanhaltenden übermäßigen Arbeitsstress	Kurzzeitige Müdigkeit, die nach einem Kaffee vergeht
de	77	Welcher Neurotransmitter gilt als Molekül der Ruhe, weil er übermäßige Aktivität des Nervensystems hemmt und Entspannung unterstützt?	GABA, Gamma-Aminobuttersäure	Adrenalin	Cortisol
de	78	Wie hilft körperliche Aktivität gegen klinische Depression und Angst?	Sie fördert Endorphine, Serotonin und Proteine, die Gehirnzellen erneuern, und wirkt ähnlich wie milde Antidepressiva	Sie hilft uns vorübergehend zu vergessen, wie wir heißen	Körperliche Aktivität verschlimmert Depression, weil sie müde macht
de	79	Was ist der Placebo-Effekt?	Eine Nebenwirkung falscher Medikamente	Wenn ein Patient nach einer völlig wirkungslosen Behandlung echte gesundheitliche Verbesserung spürt, nur wegen starken Glaubens an Heilung	Die Fähigkeit des Körpers, drei Wochen ohne Wasser zu überleben
de	80	Was ist der Nocebo-Effekt?	Wenn ein Patient echte negative Nebenwirkungen oder Verschlechterung spürt, nur weil er glaubt, dass ein Medikament oder eine Situation schädlich ist	Eine Lebensmittelart, die starke Hautallergien auslöst	Ein Ausdruck für Schlafmangel am Wochenende
de	81	Wie blockiert Koffein im Gehirn das Gefühl von Müdigkeit?	Es liefert echte Energie aus Kalorien	Es bindet sich vorübergehend an Adenosinrezeptoren, das Molekül für Schläfrigkeit, und maskiert dadurch Müdigkeit	Es zerstört alle müden Zellen
de	82	Warum ist Schlafhygiene, etwa eine feste Schlafenszeit, wichtig?	Damit wir zu Hause Strom sparen	Sie synchronisiert den inneren zirkadianen Rhythmus, wodurch Einschlafen leichter und Erholung tiefer wird	Sie ist nur für Kinder; Erwachsene können jederzeit ohne Folgen schlafen
de	83	Welcher Mineralstoff ist als Anti-Stress-Mineral bekannt, weil er Muskeln und Nervensystem entspannt?	Kalzium	Magnesium	Eisen
de	84	Was passiert mit unserer Entscheidungsfähigkeit, wenn wir chronisch zu wenig schlafen?	Wir treffen logischere und ruhigere Entscheidungen	Der rationale Teil des Gehirns verliert volle Kontrolle, wodurch wir impulsiver werden und eher schlechte Entscheidungen sowie ungesundes Essen wählen	Das Gehirn hört vollständig auf, Entscheidungen zu treffen
de	85	Was ist Eustress?	Eine extrem gefährliche Stressart, die ins Krankenhaus führt	Positiver anregender Stress, der motiviert, Energie fokussiert und Leistung verbessert, etwa Aufregung vor einem Spiel	Stress, der ausschließlich durch schlechte Ernährung entsteht
de	86	Welches Vitamin kann der Körper selbst bilden, wenn die Haut direkt Sonnenlicht ausgesetzt ist?	Vitamin C	Vitamin B12	Vitamin D
de	87	Wie wirkt sich chronische Dehydration, also zu wenig Wasser, auf Fokus und Energie aus?	Sie erhöht den Fokus, weil das Gehirn im Sparmodus arbeitet	Sie verursacht frühzeitige Müdigkeit, Konzentrationsabfall, Kopfschmerzen und ein scheinbares Hungergefühl	Sie verbessert das Kurzzeitgedächtnis
de	88	Warum ist es für langfristigen Erfolg wichtiger, sich auf den kleinen Schritt von morgen zu konzentrieren als auf das endgültige Körperbild in einem Jahr?	Weil das Endziel theoretisch unmöglich ist	Weil große Ziele oft einschüchternd wirken, während kleine tägliche Erfolge langfristige Disziplin und einen nachhaltigen Lebensstil aufbauen	Weil sich der Körper nicht mit der Zeit verändert, sondern Genetik alles entscheidet
de	89	Wie viele Tage ständiger Wiederholung braucht eine Handlung im Durchschnitt, um zur automatischen Gewohnheit zu werden?	Genau 3 Tage	Etwa 66 Tage, abhängig von Schwierigkeit der Gewohnheit und Person	Genau ein Jahr
de	90	Was ist bei den meisten Erwachsenen die Hauptursache für Typ-2-Diabetes?	Zu viel salziges Essen in der Kindheit	Langfristige Insulinresistenz durch schlechte Ernährung, Übergewicht und Bewegungsmangel	Ein zufälliger Virusangriff auf die Bauchspeicheldrüse
de	91	Welches Organ filtert hauptsächlich Blut, Giftstoffe und Medikamente und besitzt eine erstaunliche Regenerationsfähigkeit?	Der Magen	Die Leber	Die Milz
de	92	Was ist Blutdruck und welche Werte gelten als klassisches Beispiel für normalen Druck bei einem gesunden Menschen?	Luftdruck auf unsere Venen; 150 zu 100	Der Druck, mit dem Blut bei jedem Herzschlag gegen die Arterienwände drückt; etwa 120 zu 80 mmHg	Die Geschwindigkeit, mit der Blut durch Kapillaren fließt; 60 zu 40
de	93	Was bedeutet ein erhöhter LDL-Cholesterinwert im Blutbild?	Ein erhöhter Wert des sogenannten schlechten Cholesterins, das sich an Arterienwänden ablagern und sie verengen kann	Ein hervorragendes Zeichen, dass das Herz unglaublich stark ist	Der Proteinanteil im Blut
de	94	Warum ist Rauchen neben Lungenschäden auch eine direkte Ursache für Herzinfarkt?	Nikotin und Giftstoffe schädigen die Innenseite der Arterien, beschleunigen Plaqueablagerung und verengen Blutgefäße	Zigarettenrauch gelangt körperlich in die Herzkammern und verschmutzt sie	Rauchen senkt tagsüber den Puls auf null
de	95	Welches Vitamin ist das stärkste wasserlösliche Antioxidans, wichtig für Kollagensynthese und Immunsystem, und kann vom Menschen nicht selbst produziert werden?	Vitamin D	Vitamin C	Vitamin K
de	96	Was ist ein Antioxidans und warum hört man in gesunder Ernährung so oft davon?	Eine Substanz, die Sauerstoff im Körper vollständig zerstört	Ein Molekül, das freie Radikale neutralisiert, also instabile Moleküle, die Zellen schädigen und Krankheiten fördern	Eine besondere Säure, die Bauchfett schnell schmelzen lässt
de	97	Wie beeinflussen regelmäßiges Zähneputzen und Zahnseide die Herzgesundheit?	Das hat nichts mit dem Herzen zu tun, nur mit Zahnästhetik	Bakterien aus kranken Zahnfleischtaschen können in den Blutkreislauf gelangen, Gefäßinnenwände entzünden und das Herzinfarktrisiko erhöhen	Zahnpasta ernährt den Herzmuskel direkt über Kapillaren in der Zunge
de	98	Was ist die gesündeste und sicherste Art, Sonnenlicht für Vitamin D zu nutzen, ohne ein hohes Hautkrebsrisiko einzugehen?	Stundenlang mittags ohne Sonnenschutz in der Sonne liegen	Kurze moderate Exposition, 10-20 Minuten, früh morgens oder spät nachmittags, ohne Sonnenbrand zuzulassen	Im Winter dreimal pro Woche ins Solarium gehen
de	99	Was ist das wichtigste Zeichen, dass man über den Tag genug Wasser trinkt, ohne mühsam Gläser zu zählen?	Ständiges Völlegefühl im Bauch	Hellgelber oder fast klarer Urin und kein trockener Mund	Dunkler konzentrierter Urin und häufige Kopfschmerzen
de	100	Was ist laut Forschung zu Hundertjährigen aus den Blauen Zonen der wichtigste gemeinsame Faktor für Langlebigkeit und Vitalität?	Eine perfekte Pille oder ein teures Supplement finden	Eine Kombination aus moderater überwiegend pflanzlicher Ernährung, ständiger natürlicher Bewegung im Alltag, starken sozialen Bindungen und klarem Lebenssinn	Jeden Kontakt zur Außenwelt und zur Sonne vermeiden
